id,code_name,qua_cntu,qua_cl,qua_ph,label
1,雙溪淨水場,0.02,0.6,7.4,1
2,衛理女中,0.15,0.35,7.3,1
3,雙溪國小,0.07,0.32,7.3,1
4,華興加壓站,0.11,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.49,7.4,1
7,市議會,0.07,0.44,7.2,1
8,捷運忠孝復興站,0.05,0.45,6.9,1
9,南港高工,0.06,0.4,6.9,1
10,南港加壓站,0.1,0.45,6.9,1
11,挹翠加壓站,0.07,0.41,7.2,1
12,敦化國中,0.02,0.48,7.1,1
13,公館淨水場,0.06,0.55,6.9,1
14,捷運台北車站,0.08,0.45,7.1,1
15,捷運中正紀念堂站,0.07,0.44,7,1
16,萬華國中,0.03,0.45,7,1
17,華江社區配水池,0.07,0.29,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.03,0.47,7.1,1
20,螢橋國小,0.08,0.45,7,1
21,直潭淨水場,0.03,0.5,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.07,0.56,6.9,1
24,安康加壓站,0.04,0.52,7.2,1
25,頂溪站,0.16,0.5,7,1
26,中和國小,0.09,0.55,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.49,6.8,1
29,十二張加壓站,0.06,0.5,6.9,1
30,景美女中,0.12,0.5,7,1
31,木柵動物園,0.07,0.5,7.2,1
32,公館加壓站,0.06,0.53,7.1,1
33,萬芳二號配水池,0.05,0.5,6.8,1
34,指南二加壓站,0.05,0.46,7.1,1
35,木柵二期配水池,0.18,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.08,0.49,6.9,1
38,指南六加壓站,0.11,0.28,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.07,0.47,7.1,1
41,重慶國中,0.04,0.39,7,1
42,台北海洋技術學院,0.07,0.47,7.9,1
43,介壽國中,0.13,0.57,7,1
44,士林國中,0.07,0.47,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.04,0.43,7,1
47,天母加壓站,0.04,0.56,7,1
48,關渡國小,0.03,0.43,7.3,1
49,捷運淡水站,-9,-9,-9,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.06,0.45,7,1
52,松山加壓站,0.04,0.52,7,1
53,內溝里加壓站,0.05,0.53,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.31,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.41,7.6,1
58,陽明淨水場,0.06,0.54,7.1,1
59,隧道,0,0.61,6.6,1
60,中正路配水池,0.04,0.49,6.8,1
61,中山樓,0.13,0.44,7.2,1
62,鹿角坑(三加),0.04,0.58,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.04,0.48,6.8,1
1,雙溪淨水場,0.02,0.6,7.4,1
2,衛理女中,0.15,0.35,7.4,1
3,雙溪國小,0.07,0.32,7.3,1
4,華興加壓站,0.1,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.49,7.4,1
7,市議會,0.07,0.44,7.1,1
8,捷運忠孝復興站,0.05,0.45,6.9,1
9,南港高工,0.05,0.4,6.9,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.06,0.44,7.2,1
12,敦化國中,0.03,0.48,7.1,1
13,公館淨水場,0.06,0.56,6.9,1
14,捷運台北車站,0.08,0.45,7.1,1
15,捷運中正紀念堂站,0.05,0.43,7,1
16,萬華國中,0.03,0.45,7,1
17,華江社區配水池,0.07,0.29,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.04,0.47,7.1,1
20,螢橋國小,0.09,0.44,7,1
21,直潭淨水場,0.04,0.48,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.07,0.55,6.9,1
24,安康加壓站,0.04,0.52,7.2,1
25,頂溪站,0.14,0.5,7,1
26,中和國小,0.1,0.55,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.48,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.1,0.5,7,1
31,木柵動物園,0.09,0.5,7.2,1
32,公館加壓站,0.06,0.53,7.1,1
33,萬芳二號配水池,0.05,0.5,6.8,1
34,指南二加壓站,0.05,0.46,7.1,1
35,木柵二期配水池,0.18,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.07,0.48,6.9,1
38,指南六加壓站,0.11,0.28,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.08,0.46,7.1,1
41,重慶國中,0.04,0.4,7,1
42,台北海洋技術學院,0.07,0.47,7.9,1
43,介壽國中,0.13,0.57,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.04,0.43,7,1
47,天母加壓站,0.04,0.56,7,1
48,關渡國小,0.03,0.43,7.3,1
49,捷運淡水站,-9,-9,-9,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.05,0.45,7,1
52,松山加壓站,0.04,0.52,7,1
53,內溝里加壓站,0.05,0.53,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.31,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.05,0.41,7.6,1
58,陽明淨水場,0.06,0.53,7.1,1
59,隧道,0.01,0.6,6.6,1
60,中正路配水池,0.04,0.49,6.8,1
61,中山樓,0.13,0.44,7.2,1
62,鹿角坑(三加),0.04,0.58,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.04,0.48,6.8,1
1,雙溪淨水場,0.02,0.61,7.4,1
2,衛理女中,0.14,0.35,7.3,1
3,雙溪國小,0.07,0.31,7.3,1
4,華興加壓站,0.11,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.51,7.4,1
7,市議會,0.07,0.43,7.1,1
8,捷運忠孝復興站,0.06,0.45,6.9,1
9,南港高工,0.06,0.4,6.9,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.04,0.49,7.1,1
12,敦化國中,0.03,0.48,7.1,1
13,公館淨水場,0.06,0.57,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.43,7,1
16,萬華國中,0.03,0.44,7,1
17,華江社區配水池,0.08,0.29,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.03,0.47,7.1,1
20,螢橋國小,0.08,0.44,7,1
21,直潭淨水場,0.04,0.48,7.1,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.07,0.55,6.9,1
24,安康加壓站,0.04,0.52,7.2,1
25,頂溪站,0.12,0.5,7,1
26,中和國小,0.09,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.46,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.11,0.5,7,1
31,木柵動物園,0.1,0.5,7.2,1
32,公館加壓站,0.06,0.53,7.1,1
33,萬芳二號配水池,0.05,0.5,6.8,1
34,指南二加壓站,0.06,0.47,7.1,1
35,木柵二期配水池,0.19,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.05,0.47,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.09,0.45,7.1,1
41,重慶國中,0.05,0.4,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.57,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.42,7,1
47,天母加壓站,0.04,0.56,6.9,1
48,關渡國小,0.03,0.44,7.3,1
49,捷運淡水站,0.04,0.49,7.2,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.05,0.44,7,1
52,松山加壓站,0.05,0.52,7,1
53,內溝里加壓站,0.05,0.52,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.31,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.03,0.41,7.6,1
58,陽明淨水場,0.06,0.53,7.1,1
59,隧道,0.01,0.6,6.6,1
60,中正路配水池,0.04,0.49,6.8,1
61,中山樓,0.13,0.44,7.2,1
62,鹿角坑(三加),0.03,0.59,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.03,0.48,6.8,1
1,雙溪淨水場,0.02,0.61,7.4,1
2,衛理女中,0.15,0.35,7.4,1
3,雙溪國小,0.07,0.3,7.3,1
4,華興加壓站,0.1,0.32,7.1,1
5,長興淨水場,0.02,0.48,7,1
6,市政大樓,0.04,0.52,7.4,1
7,市議會,0.07,0.43,7.2,1
8,捷運忠孝復興站,0.06,0.45,6.9,1
9,南港高工,0.09,0.39,6.8,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.06,0.5,7.2,1
12,敦化國中,0.02,0.48,7.1,1
13,公館淨水場,0.06,0.58,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.13,0.43,7,1
16,萬華國中,0.03,0.44,7,1
17,華江社區配水池,0.07,0.29,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.04,0.46,7.1,1
20,螢橋國小,0.08,0.43,7,1
21,直潭淨水場,0.03,0.48,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.07,0.55,6.9,1
24,安康加壓站,0.04,0.51,7.2,1
25,頂溪站,0.11,0.5,7,1
26,中和國小,0.08,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.45,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.1,0.5,7,1
31,木柵動物園,0.1,0.49,7.2,1
32,公館加壓站,0.06,0.53,7.1,1
33,萬芳二號配水池,0.05,0.5,6.8,1
34,指南二加壓站,0.06,0.47,7.1,1
35,木柵二期配水池,0.21,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.05,0.47,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.08,0.46,7.1,1
41,重慶國中,0.05,0.41,7,1
42,台北海洋技術學院,0.07,0.49,7.9,1
43,介壽國中,0.13,0.57,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.42,7,1
47,天母加壓站,0.04,0.55,7,1
48,關渡國小,0.03,0.44,7.2,1
49,捷運淡水站,0.04,0.48,7.2,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.07,0.45,7,1
52,松山加壓站,0.04,0.51,7,1
53,內溝里加壓站,0.05,0.51,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.31,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.41,7.6,1
58,陽明淨水場,0.06,0.52,7.1,1
59,隧道,0.01,0.6,6.6,1
60,中正路配水池,0.04,0.5,6.8,1
61,中山樓,0.13,0.43,7.2,1
62,鹿角坑(三加),0.03,0.58,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.03,0.48,6.8,1
1,雙溪淨水場,0.02,0.61,7.4,1
2,衛理女中,0.15,0.35,7.3,1
3,雙溪國小,0.07,0.29,7.3,1
4,華興加壓站,0.1,0.32,7.1,1
5,長興淨水場,0.01,0.48,7,1
6,市政大樓,0.04,0.52,7.4,1
7,市議會,0.07,0.43,7.2,1
8,捷運忠孝復興站,0.05,0.44,6.9,1
9,南港高工,0.1,0.39,6.9,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.05,0.5,7.1,1
12,敦化國中,0.02,0.49,7.1,1
13,公館淨水場,0.06,0.59,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.08,0.43,7,1
16,萬華國中,0.03,0.43,7,1
17,華江社區配水池,0.07,0.29,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.04,0.46,7.1,1
20,螢橋國小,0.08,0.43,7,1
21,直潭淨水場,0.03,0.51,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.06,0.55,6.9,1
24,安康加壓站,0.04,0.5,7.2,1
25,頂溪站,0.11,0.5,7,1
26,中和國小,0.1,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.45,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.1,0.5,7,1
31,木柵動物園,0.09,0.49,7.2,1
32,公館加壓站,0.06,0.52,7.1,1
33,萬芳二號配水池,0.05,0.5,6.8,1
34,指南二加壓站,0.06,0.47,7.1,1
35,木柵二期配水池,0.21,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.06,0.47,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.08,0.45,7.1,1
41,重慶國中,0.04,0.41,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.57,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.42,7,1
47,天母加壓站,0.04,0.54,7,1
48,關渡國小,0.03,0.45,7.2,1
49,捷運淡水站,0.04,0.48,7.2,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.08,0.45,7,1
52,松山加壓站,0.05,0.51,7,1
53,內溝里加壓站,0.06,0.52,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.31,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.41,7.6,1
58,陽明淨水場,0.06,0.53,7.1,1
59,隧道,0.01,0.61,6.6,1
60,中正路配水池,0.04,0.49,6.8,1
61,中山樓,0.13,0.43,7.2,1
62,鹿角坑(三加),0.03,0.59,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.04,0.48,6.8,1
1,雙溪淨水場,0.02,0.61,7.4,1
2,衛理女中,0.15,0.34,7.4,1
3,雙溪國小,0.07,0.28,7.3,1
4,華興加壓站,0.11,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.52,7.4,1
7,市議會,0.06,0.42,7.2,1
8,捷運忠孝復興站,0.06,0.44,6.9,1
9,南港高工,0.06,0.4,6.9,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.04,0.5,7.1,1
12,敦化國中,0.02,0.49,7.1,1
13,公館淨水場,0.06,0.6,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.42,7,1
16,萬華國中,0.03,0.42,7,1
17,華江社區配水池,0.07,0.28,7,1
18,西門國小,0.04,0.56,6.9,1
19,忠孝國小,0.04,0.46,7.1,1
20,螢橋國小,0.08,0.44,7,1
21,直潭淨水場,0.04,0.52,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.06,0.54,6.9,1
24,安康加壓站,0.04,0.5,7.2,1
25,頂溪站,0.11,0.5,7,1
26,中和國小,0.09,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.44,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.09,0.49,7,1
31,木柵動物園,0.1,0.48,7.2,1
32,公館加壓站,0.06,0.52,7.1,1
33,萬芳二號配水池,0.05,0.49,6.8,1
34,指南二加壓站,0.05,0.47,7.1,1
35,木柵二期配水池,0.2,0.44,7,1
36,三重加壓站,0.06,0.51,7,1
37,新北高中,0.06,0.47,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.08,0.44,7.1,1
41,重慶國中,0.05,0.41,7,1
42,台北海洋技術學院,0.07,0.49,7.9,1
43,介壽國中,0.13,0.56,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.41,7,1
47,天母加壓站,0.05,0.53,7,1
48,關渡國小,0.03,0.45,7.3,1
49,捷運淡水站,0.04,0.49,7.2,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.06,0.45,7,1
52,松山加壓站,0.06,0.51,7,1
53,內溝里加壓站,0.05,0.53,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.32,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.41,7.6,1
58,陽明淨水場,0.06,0.54,7.1,1
59,隧道,0.01,0.6,6.6,1
60,中正路配水池,0.04,0.5,6.8,1
61,中山樓,0.13,0.44,7.2,1
62,鹿角坑(三加),0.03,0.59,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.03,0.48,6.8,1
1,雙溪淨水場,0.02,0.61,7.4,1
2,衛理女中,0.14,0.34,7.3,1
3,雙溪國小,0.07,0.27,7.3,1
4,華興加壓站,0.1,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.51,7.4,1
7,市議會,0.06,0.42,7.2,1
8,捷運忠孝復興站,0.06,0.44,6.9,1
9,南港高工,0.06,0.39,6.9,1
10,南港加壓站,0.08,0.45,6.9,1
11,挹翠加壓站,0.04,0.5,7.1,1
12,敦化國中,0.02,0.49,7.1,1
13,公館淨水場,0.06,0.61,6.9,1
14,捷運台北車站,0.07,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.42,7,1
16,萬華國中,0.03,0.42,7,1
17,華江社區配水池,0.08,0.28,7,1
18,西門國小,0.05,0.55,6.9,1
19,忠孝國小,0.03,0.45,7.2,1
20,螢橋國小,0.07,0.44,7,1
21,直潭淨水場,0.04,0.52,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.06,0.53,6.9,1
24,安康加壓站,0.04,0.5,7.2,1
25,頂溪站,0.11,0.5,7,1
26,中和國小,0.09,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.45,6.8,1
29,十二張加壓站,0.06,0.49,6.9,1
30,景美女中,0.09,0.49,7,1
31,木柵動物園,0.1,0.48,7.2,1
32,公館加壓站,0.06,0.52,7.1,1
33,萬芳二號配水池,0.05,0.49,6.8,1
34,指南二加壓站,0.06,0.47,7.1,1
35,木柵二期配水池,0.2,0.43,7,1
36,三重加壓站,0.06,0.5,7,1
37,新北高中,0.05,0.46,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.08,0.44,7.1,1
41,重慶國中,0.04,0.42,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.56,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.41,7,1
47,天母加壓站,0.04,0.52,7,1
48,關渡國小,0.03,0.45,7.3,1
49,捷運淡水站,0.04,0.49,7.2,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.05,0.44,7,1
52,松山加壓站,0.04,0.51,7,1
53,內溝里加壓站,0.06,0.54,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.32,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.4,7.6,1
58,陽明淨水場,0.06,0.55,7.1,1
59,隧道,0.01,0.61,6.6,1
60,中正路配水池,0.04,0.5,6.7,1
61,中山樓,0.13,0.43,7.2,1
62,鹿角坑(三加),0.03,0.61,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.03,0.48,6.8,1
1,雙溪淨水場,0.02,0.62,7.4,1
2,衛理女中,0.14,0.34,7.4,1
3,雙溪國小,0.07,0.27,7.3,1
4,華興加壓站,0.11,0.32,7.1,1
5,長興淨水場,0.02,0.47,7,1
6,市政大樓,0.04,0.49,7.4,1
7,市議會,0.07,0.42,7.2,1
8,捷運忠孝復興站,0.06,0.43,6.9,1
9,南港高工,0.13,0.38,6.9,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.05,0.48,7.1,1
12,敦化國中,0.03,0.5,7.1,1
13,公館淨水場,0.06,0.62,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.41,7,1
16,萬華國中,0.03,0.41,7,1
17,華江社區配水池,0.07,0.3,7,1
18,西門國小,0.04,0.55,6.9,1
19,忠孝國小,0.03,0.45,7.2,1
20,螢橋國小,0.07,0.44,7,1
21,直潭淨水場,0.04,0.52,7.2,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.06,0.53,6.9,1
24,安康加壓站,0.04,0.5,7.2,1
25,頂溪站,0.1,0.5,7,1
26,中和國小,0.08,0.54,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.05,0.43,6.8,1
29,十二張加壓站,0.08,0.47,6.9,1
30,景美女中,0.09,0.49,7,1
31,木柵動物園,0.12,0.48,7.2,1
32,公館加壓站,0.06,0.52,7.1,1
33,萬芳二號配水池,0.17,0.48,6.8,1
34,指南二加壓站,0.05,0.47,7.1,1
35,木柵二期配水池,0.2,0.44,7,1
36,三重加壓站,0.06,0.5,7,1
37,新北高中,0.06,0.46,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.07,0.46,7.1,1
40,麗山國中,0.07,0.44,7.1,1
41,重慶國中,0.04,0.42,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.56,7,1
44,士林國中,0.07,0.47,7,1
45,陽明高中,0.05,0.46,7.4,1
46,捷運石牌站,0.05,0.4,7,1
47,天母加壓站,0.05,0.51,7,1
48,關渡國小,0.03,0.45,7.2,1
49,捷運淡水站,0.05,0.5,7.1,1
50,北投第4配水池,0.04,0.5,7.2,1
51,北投加壓站,0.06,0.44,7,1
52,松山加壓站,0.04,0.51,7,1
53,內溝里加壓站,0.05,0.53,6.9,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.1,0.32,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.41,7.6,1
58,陽明淨水場,0.06,0.56,7.1,1
59,隧道,0.01,0.56,6.6,1
60,中正路配水池,0.04,0.5,6.7,1
61,中山樓,0.13,0.43,7.2,1
62,鹿角坑(三加),0.04,0.62,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.04,0.48,6.8,1
1,雙溪淨水場,0.02,0.62,7.4,1
2,衛理女中,0.15,0.34,7.4,1
3,雙溪國小,0.07,0.27,7.3,1
4,華興加壓站,0.11,0.32,7.1,1
5,長興淨水場,0.02,0.46,7,1
6,市政大樓,0.05,0.48,7.4,1
7,市議會,0.07,0.41,7.2,1
8,捷運忠孝復興站,0.06,0.44,6.9,1
9,南港高工,0.17,0.45,6.8,1
10,南港加壓站,0.09,0.46,6.9,1
11,挹翠加壓站,0.05,0.48,7.1,1
12,敦化國中,0.02,0.48,7.1,1
13,公館淨水場,0.06,0.63,6.9,1
14,捷運台北車站,0.08,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.42,7,1
16,萬華國中,0.03,0.41,7,1
17,華江社區配水池,0.07,0.33,7,1
18,西門國小,0.05,0.55,6.9,1
19,忠孝國小,0.04,0.44,7.2,1
20,螢橋國小,0.07,0.44,7,1
21,直潭淨水場,0.04,0.53,7.1,1
22,伸仗板配水池,0.05,0.58,7.3,1
23,中和加壓站,0.06,0.52,6.9,1
24,安康加壓站,0.04,0.49,7.2,1
25,頂溪站,0.1,0.49,7,1
26,中和國小,0.09,0.53,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.45,6.8,1
29,十二張加壓站,0.06,0.48,6.9,1
30,景美女中,0.07,0.48,7,1
31,木柵動物園,0.11,0.47,7.2,1
32,公館加壓站,0.05,0.51,7.1,1
33,萬芳二號配水池,0.18,0.47,6.9,1
34,指南二加壓站,0.06,0.48,7.1,1
35,木柵二期配水池,0.19,0.43,7,1
36,三重加壓站,0.06,0.5,7,1
37,新北高中,0.05,0.46,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.06,0.46,7.1,1
40,麗山國中,0.07,0.44,7.1,1
41,重慶國中,0.04,0.43,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.56,7,1
44,士林國中,0.07,0.48,7,1
45,陽明高中,0.04,0.46,7.4,1
46,捷運石牌站,0.05,0.4,7,1
47,天母加壓站,0.05,0.51,7,1
48,關渡國小,0.03,0.45,7.2,1
49,捷運淡水站,0.04,0.5,7.1,1
50,北投第4配水池,0.04,0.49,7.2,1
51,北投加壓站,0.05,0.44,7,1
52,松山加壓站,0.04,0.5,7,1
53,內溝里加壓站,0.06,0.52,7,1
54,潭美國小,-9,-9,-9,1
55,東湖國中,0.11,0.32,6.9,1
56,民生加壓站,0.04,0.53,6.8,1
57,興隆公營住宅1區,0.04,0.4,7.6,1
58,陽明淨水場,0.06,0.57,7.1,1
59,隧道,0.01,0.54,6.6,1
60,中正路配水池,0.05,0.5,6.7,1
61,中山樓,0.13,0.44,7.2,1
62,鹿角坑(三加),0.04,0.62,7.3,1
63,泉源國小,-9,-9,-9,1
64,三角埔加壓站,0.03,0.48,6.8,1
1,雙溪淨水場,0.02,0.62,7.4,1
2,衛理女中,0.15,0.34,7.3,1
3,雙溪國小,0.07,0.26,7.3,1
4,華興加壓站,0.1,0.31,7.1,1
5,長興淨水場,0.01,0.47,7,1
6,市政大樓,0.04,0.47,7.4,1
7,市議會,0.07,0.41,7.2,1
8,捷運忠孝復興站,0.05,0.43,6.9,1
9,南港高工,0.07,0.48,6.6,1
10,南港加壓站,0.09,0.45,6.9,1
11,挹翠加壓站,0.06,0.47,7.1,1
12,敦化國中,0.03,0.47,7.1,1
13,公館淨水場,0.06,0.63,6.9,1
14,捷運台北車站,0.07,0.44,7.1,1
15,捷運中正紀念堂站,0.05,0.43,7,1
16,萬華國中,0.03,0.41,7,1
17,華江社區配水池,0.08,0.34,7,1
18,西門國小,0.04,0.55,6.9,1
19,忠孝國小,0.03,0.44,7.2,1
20,螢橋國小,0.07,0.45,7,1
21,直潭淨水場,0.03,0.53,7.2,1
22,伸仗板配水池,0.05,0.59,7.3,1
23,中和加壓站,0.06,0.51,6.9,1
24,安康加壓站,0.04,0.5,7.2,1
25,頂溪站,0.1,0.49,7,1
26,中和國小,0.1,0.52,6.9,1
27,積穗國小,-9,-9,-9,1
28,捷運大坪林站,0.04,0.43,6.8,1
29,十二張加壓站,0.06,0.47,6.9,1
30,景美女中,0.07,0.48,7,1
31,木柵動物園,0.12,0.47,7.2,1
32,公館加壓站,0.06,0.51,7.1,1
33,萬芳二號配水池,0.06,0.47,6.9,1
34,指南二加壓站,0.06,0.48,7.1,1
35,木柵二期配水池,0.2,0.43,7,1
36,三重加壓站,0.05,0.5,7,1
37,新北高中,0.06,0.46,6.9,1
38,指南六加壓站,0.11,0.27,8,1
39,大同加壓站,0.06,0.46,7.1,1
40,麗山國中,0.08,0.43,7.1,1
41,重慶國中,0.04,0.44,7,1
42,台北海洋技術學院,0.07,0.48,7.9,1
43,介壽國中,0.13,0.56,7,1
44,士林國中,0.07,0.49,7,1
45,陽明高中,0.04,0.46,7.4,1
